,date_np,minutesAsleep,minutesAwake,weekend,sed_min,va_min,ma_min,ls_min,sum,pred
112,2015-01-03,557,48,True,441,85,151,151,19867,True
113,2015-01-05,340,31,False,730,82,101,118,16511,False
114,2015-01-06,348,47,False,638,69,76,93,17936,False
115,2015-01-07,511,42,False,716,133,116,77,16861,False
116,2015-01-09,304,14,False,756,70,109,177,14089,False
117,2015-01-10,453,11,True,674,38,72,104,10201,False
118,2015-01-11,523,27,True,502,63,92,124,11756,True
119,2015-01-12,454,32,False,833,45,102,84,11459,False
120,2015-01-13,345,30,False,537,10,167,241,11444,False
121,2015-01-14,457,28,False,665,53,143,154,13993,False
122,2015-01-15,332,33,False,761,31,110,172,13290,False
123,2015-01-16,348,5,False,715,86,133,136,16032,False
124,2015-01-18,318,26,True,691,58,71,88,13613,False
125,2015-01-19,523,12,False,856,25,74,116,6315,False
126,2015-01-20,331,29,False,611,11,159,238,11339,False
127,2015-01-21,333,14,False,797,29,88,60,9803,False
128,2015-01-22,488,10,False,786,46,120,100,9838,False
129,2015-01-23,344,29,False,784,44,101,131,10513,False
130,2015-01-24,438,19,True,626,19,92,236,7405,True
131,2015-01-25,732,4,True,802,21,88,150,10478,False
132,2015-01-27,545,48,False,707,74,83,82,12452,False
133,2015-01-28,349,22,False,844,48,104,67,13080,False
134,2015-01-30,423,26,False,761,35,83,108,12037,False
135,2015-02-01,299,0,True,736,53,157,125,22574,False
136,2015-02-02,391,17,False,722,82,128,130,12908,False
137,2015-02-03,379,19,False,724,50,124,117,17161,False
138,2015-02-04,377,29,False,691,60,111,107,12127,False
139,2015-02-05,427,42,False,735,34,106,133,10616,False
140,2015-02-06,285,6,False,826,54,80,80,12425,False
141,2015-02-07,453,19,True,874,50,44,67,8705,False
142,2015-02-09,404,25,False,660,80,118,90,7269,False
143,2015-02-10,408,34,False,526,105,231,154,23120,False
144,2015-02-11,332,35,False,830,60,73,103,18539,False
145,2015-02-12,397,13,False,694,24,82,126,12578,False
146,2015-02-13,462,35,False,712,47,96,140,6137,False
147,2015-02-14,351,25,True,847,10,55,112,8646,False
148,2015-02-15,507,17,True,819,4,49,50,5030,False
149,2015-02-16,369,37,False,788,44,77,86,9180,False
150,2015-02-17,401,42,False,573,87,200,168,14840,False
151,2015-02-18,426,18,False,655,59,93,96,16883,False
152,2015-02-19,431,21,False,790,31,95,129,10072,False
153,2015-02-20,376,16,False,747,29,108,153,9892,False
154,2015-02-21,305,31,True,795,40,100,149,12696,False
155,2015-02-22,555,37,True,747,6,31,39,2495,True
156,2015-02-23,365,40,False,715,64,122,102,6945,False
157,2015-02-24,876,38,False,523,33,137,197,19081,False
158,2015-02-25,464,70,False,775,54,93,81,9633,False
159,2015-02-26,393,27,False,716,51,98,148,12986,False
160,2015-02-28,497,34,True,812,14,60,90,3615,False
161,2015-03-02,365,26,False,820,38,59,78,8010,False
162,2015-03-03,389,22,False,585,84,233,167,14596,False
163,2015-03-04,433,19,False,744,44,90,80,15283,False
164,2015-03-05,507,26,False,750,24,47,89,6028,False
165,2015-03-06,388,16,False,819,49,55,108,10731,False
166,2015-03-08,566,33,True,717,16,34,54,4516,True
167,2015-03-09,364,17,False,787,53,97,88,8219,False
168,2015-03-10,354,13,False,663,49,191,177,17101,False
169,2015-03-11,448,18,False,725,70,67,76,12649,False
170,2015-03-12,343,17,False,747,38,108,180,13851,False
171,2015-03-13,361,22,False,890,14,51,97,7472,False
172,2015-03-14,505,67,True,560,27,91,183,7686,False
173,2015-03-15,466,13,True,799,16,40,75,5755,False
174,2015-03-16,377,49,False,784,69,77,75,8815,False
175,2015-03-17,417,30,False,698,71,99,121,15142,False
176,2015-03-19,372,28,False,714,63,86,125,17777,False
177,2015-03-20,286,12,False,812,93,93,128,11774,False
178,2015-03-22,367,18,True,936,19,48,34,5713,False
179,2015-03-24,280,20,False,666,74,219,165,15567,False
180,2015-03-25,322,32,False,851,47,91,79,14253,False
181,2015-03-26,840,46,False,686,60,110,129,14294,False
182,2015-03-27,346,18,False,781,75,97,95,11143,False
183,2015-03-28,390,31,True,812,37,79,72,12775,False
184,2015-03-29,353,47,True,550,87,90,103,17648,False
185,2015-03-31,795,136,False,544,18,120,145,9470,False
186,2015-04-03,353,6,False,847,25,20,170,11428,False
187,2015-04-04,476,28,True,615,43,68,215,11747,True
188,2015-04-05,357,12,True,877,0,0,96,5124,False
189,2015-04-06,533,27,False,727,35,21,145,7757,True
190,2015-04-07,266,16,False,780,29,57,278,15518,False
191,2015-04-08,415,37,False,644,77,33,209,9909,True
192,2015-04-09,315,24,False,734,69,53,229,25030,False
193,2015-04-11,315,13,True,748,106,49,194,20253,False
194,2015-04-13,469,43,False,691,60,41,128,11260,False
195,2015-04-14,421,18,False,661,21,36,271,15834,False
196,2015-04-15,395,40,False,825,27,43,104,7687,False
197,2015-04-16,336,20,False,856,24,17,178,10520,False
198,2015-04-17,365,8,False,840,29,19,159,9212,False
199,2015-04-18,391,5,True,769,39,29,192,9457,False
200,2015-04-19,417,47,True,793,25,14,138,9735,False
201,2015-04-20,356,29,False,797,30,33,184,9944,False
202,2015-04-21,415,15,False,557,54,25,307,19594,False
203,2015-04-22,283,5,False,977,25,27,150,8105,False
204,2015-04-23,463,30,False,616,58,52,191,12684,True
205,2015-04-24,386,2,False,803,29,16,229,12724,False
206,2015-04-25,708,30,True,747,0,0,316,8918,False
207,2015-04-26,555,41,True,659,14,9,157,6440,True
208,2015-04-27,446,53,False,709,21,14,162,11999,False
209,2015-04-28,372,38,False,807,58,32,118,12336,False
